DATE,CSUSHPISA,PERMIT1,EMRATIO,HSN1F,HNFSEPUSSA,HOUST1F,COMPU1USA,TLRESCONS,GDP,HOUSTSFLAA1FQ,DRSFRMACBS,RSAHORUSQ156S
2013-10-01,159.24200000000002,623.0,58.3,444.0,183.0,595.0,604.0,351749.0,17192.019,2656.0,8.3,65.1
2013-11-01,160.07399999999998,642.0,58.6,446.0,184.0,699.0,601.0,358973.0,17193.925333333333,2679.6666666666665,8.123333333333333,65.03333333333333
2013-12-01,160.994,602.0,58.7,433.0,186.0,647.0,560.0,366094.0,17195.83166666667,2703.3333333333335,7.946666666666666,64.96666666666667
2014-01-01,161.92700000000002,615.0,58.8,443.0,189.0,567.0,597.0,373352.0,17197.738,2727.0,7.77,64.9
2014-02-01,162.525,609.0,58.7,420.0,187.0,594.0,629.0,368792.0,17304.661333333333,2701.6666666666665,7.656666666666666,64.86666666666667
2014-03-01,163.086,623.0,58.9,405.0,190.0,652.0,629.0,374228.0,17411.58466666667,2676.3333333333335,7.543333333333333,64.83333333333333
2014-04-01,163.393,620.0,58.9,403.0,190.0,646.0,598.0,380061.0,17518.508,2651.0,7.43,64.8
2014-05-01,163.66,627.0,58.9,451.0,194.0,652.0,622.0,381415.0,17613.748,2649.6666666666665,7.306666666666667,64.63333333333333
2014-06-01,164.06400000000002,649.0,59.0,418.0,199.0,603.0,581.0,377648.0,17708.988,2648.3333333333335,7.183333333333333,64.46666666666667
2014-07-01,164.579,648.0,59.0,402.0,207.0,656.0,630.0,377696.0,17804.228,2647.0,7.06,64.3
2014-08-01,165.215,650.0,59.0,456.0,207.0,644.0,607.0,377992.0,17840.178333333333,2657.0,6.873333333333333,64.16666666666666
2014-09-01,165.905,662.0,59.1,470.0,210.0,664.0,642.0,387364.0,17876.128666666667,2667.0,6.6866666666666665,64.03333333333333
2014-10-01,166.641,647.0,59.3,476.0,209.0,699.0,618.0,391415.0,17912.079,2677.0,6.5,63.9
2014-11-01,167.335,658.0,59.2,442.0,211.0,658.0,620.0,396871.0,17962.562333333335,2696.6666666666665,6.413333333333333,63.86666666666667
2014-12-01,168.051,670.0,59.3,497.0,210.0,720.0,660.0,406913.0,18013.045666666665,2716.3333333333335,6.326666666666667,63.83333333333333
2015-01-01,168.634,662.0,59.3,515.0,207.0,703.0,658.0,412410.0,18063.529,2736.0,6.24,63.8
2015-02-01,169.12900000000002,628.0,59.2,540.0,203.0,584.0,601.0,417214.0,18135.613999999998,2725.3333333333335,6.1000000000000005,63.699999999999996
2015-03-01,169.799,658.0,59.2,480.0,204.0,627.0,577.0,417610.0,18207.699,2714.6666666666665,5.96,63.6
2015-04-01,170.298,679.0,59.3,502.0,206.0,742.0,688.0,423031.0,18279.784,2704.0,5.82,63.5
2015-05-01,170.88,701.0,59.4,502.0,211.0,708.0,641.0,430946.0,18320.398,2685.6666666666665,5.676666666666667,63.53333333333333
2015-06-01,171.47099999999998,706.0,59.4,480.0,216.0,700.0,634.0,439934.0,18361.012,2667.3333333333335,5.533333333333333,63.56666666666667
2015-07-01,172.13299999999998,700.0,59.3,506.0,218.0,759.0,637.0,446395.0,18401.626,2649.0,5.39,63.6
2015-08-01,172.93599999999998,718.0,59.4,518.0,217.0,734.0,659.0,446045.0,18412.796333333332,2657.3333333333335,5.296666666666667,63.63333333333333
2015-09-01,173.828,711.0,59.2,456.0,224.0,746.0,663.0,454657.0,18423.966666666667,2665.6666666666665,5.203333333333333,63.66666666666667
2015-10-01,174.792,721.0,59.3,482.0,226.0,705.0,645.0,454849.0,18435.137,2674.0,5.11,63.7
2015-11-01,175.738,730.0,59.4,504.0,229.0,774.0,649.0,453590.0,18465.40233333333,2668.6666666666665,5.0,63.63333333333333
2015-12-01,176.544,719.0,59.6,546.0,232.0,765.0,709.0,459296.0,18495.667666666668,2663.3333333333335,4.890000000000001,63.56666666666667
2016-01-01,177.274,720.0,59.7,505.0,236.0,752.0,671.0,462747.0,18525.933,2658.0,4.78,63.5
2016-02-01,177.649,723.0,59.8,517.0,239.0,859.0,734.0,468727.0,18587.856,2645.3333333333335,4.716666666666667,63.36666666666667
2016-03-01,178.16400000000002,737.0,59.8,532.0,242.0,753.0,708.0,475918.0,18649.779000000002,2632.6666666666665,4.653333333333333,63.233333333333334
2016-04-01,178.766,753.0,59.7,576.0,242.0,777.0,706.0,474750.0,18711.702,2620.0,4.59,63.1
2016-05-01,179.429,748.0,59.7,571.0,241.0,753.0,721.0,475303.0,18772.014333333333,2611.0,4.52,63.2
2016-06-01,180.084,752.0,59.7,557.0,244.0,769.0,754.0,480899.0,18832.326666666668,2602.0,4.45,63.3
2016-07-01,180.834,720.0,59.8,628.0,238.0,769.0,742.0,483205.0,18892.639,2593.0,4.38,63.4
2016-08-01,181.85,751.0,59.8,575.0,240.0,734.0,745.0,487744.0,18958.219,2612.6666666666665,4.3,63.43333333333333
2016-09-01,182.823,752.0,59.7,558.0,243.0,777.0,739.0,489380.0,19023.799,2632.3333333333335,4.22,63.46666666666667
2016-10-01,183.75,769.0,59.7,575.0,249.0,859.0,766.0,503719.0,19089.379,2652.0,4.14,63.5
2016-11-01,184.759,770.0,59.7,571.0,248.0,817.0,790.0,511582.0,19152.947333333334,2644.0,4.06,63.53333333333333
2016-12-01,185.725,809.0,59.7,561.0,254.0,801.0,772.0,519253.0,19216.515666666666,2636.0,3.98,63.56666666666667
2017-01-01,186.805,790.0,59.9,573.0,257.0,785.0,790.0,517537.0,19280.084,2628.0,3.9,63.6
2017-02-01,187.313,813.0,60.0,587.0,261.0,864.0,744.0,538326.0,19332.936999999998,2624.6666666666665,3.8266666666666667,63.7
2017-03-01,187.992,824.0,60.2,632.0,265.0,836.0,780.0,534162.0,19385.79,2621.3333333333335,3.7533333333333334,63.8
2017-04-01,188.724,793.0,60.2,598.0,268.0,825.0,765.0,539294.0,19438.643,2618.0,3.68,63.9
2017-05-01,189.616,795.0,60.1,635.0,271.0,832.0,800.0,543467.0,19523.29366666667,2604.0,3.666666666666667,63.9
2017-06-01,190.513,820.0,60.1,619.0,274.0,867.0,810.0,543501.0,19607.944333333333,2590.0,3.6533333333333333,63.9
2017-07-01,191.45,818.0,60.2,572.0,277.0,841.0,841.0,548458.0,19692.595,2576.0,3.64,63.9
2017-08-01,192.663,817.0,60.1,556.0,281.0,867.0,746.0,548645.0,19807.426,2575.0,3.6166666666666667,63.93333333333333
2017-09-01,193.759,830.0,60.4,637.0,282.0,839.0,794.0,551170.0,19922.257,2574.0,3.5933333333333333,63.96666666666667
2017-10-01,194.805,854.0,60.1,626.0,286.0,878.0,815.0,544892.0,20037.088,2573.0,3.57,64.0
2017-11-01,195.958,860.0,60.1,711.0,287.0,924.0,808.0,569046.0,20134.243,2595.0,3.54,64.06666666666666
2017-12-01,197.178,861.0,60.1,630.0,293.0,824.0,845.0,571985.0,20231.398,2617.0,3.51,64.13333333333334
